FECHA|VALOR UF|VALOR DOLAR|VALOR EURO|VALOR UTM|FECHA-HORA REG
13-09-2018|27.324,67|698,43|809,49|47.920|13-09-18 01:20:42
15-09-2018|27.328,31|682,79|797,75|47.920|15-09-18 01:19:00
15-09-2018|27.328,31|682,79|797,75|47.920|15-09-18 04:33:37
15-09-2018|0|682,79|797,75|47.920|15-09-18 04:38:30
15-09-2018|27.330,13|0|0|47.920|15-09-18 14:48:20
15-09-2018|27.330,13|0|0|47.920|15-09-18 14:48:50
15-09-2018|27.330,13|0|0|47.920|15-09-18 14:49:35
15-09-2018|27.330,13|0|0|47.920|15-09-18 14:49:41
17-09-2018|27.333,77|682,79|797,75|47.920|17-09-18 19:50:58
20-09-2018|0|0|0|0|20-09-18 01:12:03
20-09-2018|0|0|0|0|20-09-18 01:12:34
20-09-2018|0|0|0|0|20-09-18 01:15:23
20-09-2018|0|0|0|0|20-09-18 01:18:45
20-09-2018|0|0|0|0|20-09-18 01:18:57
20-09-2018|0|0|0|0|20-09-18 01:19:35
20-09-2018|0|0|0|0|20-09-18 01:20:59
20-09-2018|0|0|0|0|20-09-18 01:21:10
20-09-2018|0|0|0|0|20-09-18 01:21:24
20-09-2018|0|0|0|0|20-09-18 01:21:44
20-09-2018|0|0|0|0|20-09-18 01:22:03
20-09-2018|0|0|0|0|20-09-18 01:22:16
20-09-2018|0|0|0|0|20-09-18 01:22:31
